address,latitude,longitude,city,postcode
17 cours Jean Nicoli 20090 AJACCIO FR,42.462065,1.937261,Ur,66760
C.C. E.Leclerc - rue des Portes d'Albi ALBI FR,43.923305,2.149627,Albi,81000
97 Avenue de Saint-Juéry ALBI FR,43.935898,2.179227,Albi,81000
ZAC Les Portes de Bretagne 61000 ALENÇON FR,48.432597,0.069882,Alençon,61000
16 Place des Martyrs de la Résistance 30100 ALES FR,44.126526,4.079116,Alès,30100
Espace Littoral - Rue des Silènes 56190 AMBON-MUZILLAC FR,47.559614,-2.510624,Ambon,56190
15 boulevard Ambroise Paré 80000 AMIENS FR,49.879182,2.267523,Amiens,80000
230 boulevard de la République 33510 ANDERNOS FR,44.742476,-1.099264,Andernos-les-Bains,33510
Immeuble Cazalbon - rond-point Goutterons 42160 ANDRÉZIEUX-BOUTHÉON FR,45.53582,4.28695,Andrézieux-Bouthéon,42160
2 sq. Lafayette ANGERS FR,47.478427,-0.563167,Angers,49000
C.C. E.Leclerc - boulevard Albert Camus ANGERS FR,47.471547,-0.545611,Angers,49100
24 rue des Perreyeux ANGERS FR,47.491499,-0.525204,Angers,49100
49 boulevard Costa de Beauregard 74600 ANNECY FR,42.462065,1.937261,Ur,66760
C.C. Carrefour - Chemin Saint Claude 06600 ANTIBES FR,43.593964,7.110514,Antibes,06600
669 avenue Victor Hugo 84400 APT FR,43.879414,5.385495,Apt,84400
C.C. Intermarché 66700 ARGELÈS-SUR-MER FR,42.53805,3.013474,Argelès-sur-Mer,66700
21  rue de la République ARLES FR,43.676755,4.625405,Arles,13129
Avenue du Maréchal Juin ARLES FR,43.666671,4.635623,Arles,13200
20 place du Marché 91290 ARPAJON FR,48.588802,2.250165,Arpajon,91290
5 rue Pierre Brossolette 92600 ASNIÈRES FR,48.910659,2.29039,Asnières-sur-Seine,92600
C.C. Carrefour 91200 ATHIS-MONS FR,48.715463,2.404193,Athis-Mons,91200
"C.C. Auchan Barneoud, Rte de Gémenos, 13400 AUBAGNE FR",43.298087,5.604382,Aubagne,13400
9 rue Duquesne 56400 AURAY FR,47.663653,-3.006221,Auray,56400
5 place du Square 15000 AURILLAC FR,44.928443,2.444387,Aurillac,15000
C.C. Carrefour Market 31190 AUTERIVE FR,43.352067,1.479783,Auterive,31190
23 rue du Général Leclerc 89200 AVALLON FR,47.496361,3.908208,Avallon,89200
12 avenue Eisenhower AVIGNON FR,43.939248,4.797294,Avignon,84000
50 avenue Marcou De Langlade AVIGNON FR,43.92106,4.867725,Avignon,84140
12 cours Carnot AVIGNON FR,43.949317,4.805533,Avignon,84000
C.C. Carrefour 76360 BARENTIN FR,49.542269,0.948277,Barentin,76360
25 rue des Pierres Missigault 28630 BARJOUVILLE FR,48.414988,1.470132,Barjouville,28630
1244 Avenue Sampiero Corso 20600 Bastia FR,42.639807,9.439681,Furiani,20600
53 rue Saint Patrice 14400 BAYEUX FR,49.278938,-0.710017,Bayeux,14400
123 avenue du Maréchal Soult 64100 BAYONNE FR,43.483562,-1.500878,Bayonne,64100
C.C. Carrefour 30300 BEAUCAIRE FR,43.810034,4.627225,Beaucaire,30300
22 rue d'Alsace 21200 BEAUNE FR,47.022216,4.839766,Beaune,21200
24 rue de Malherbe 60000 BEAUVAIS FR,49.428055,2.081713,Beauvais,60000
ZAC La Cavaille - 129 avenue Charles de Gaulle 24100 BERGERAC FR,44.83631,0.450068,Bergerac,24100
ZAC Les Batterses 01700 BEYNOST FR,45.825822,4.989452,Beynost,01700
7 avenue Georges Clémenceau 34500 BÉZIERS FR,43.345389,3.216019,Béziers,34500
C.C. Brico Leclerc - route de la plage 40600 BISCARROSSE FR,44.437735,-1.234752,Biscarrosse,40600
3 rue du Bout des Haies 41000 BLOIS FR,47.614584,1.32334,Blois,41000
62 avenue Jean Jaurès 78390 BOIS-D'ARCY FR,48.80025,2.03514,Bois-d'Arcy,78390
69 bis avenue Victor Hugo 92100 BOULOGNE-BILLANCOURT FR,48.837101,2.24584,Boulogne-Billancourt,92100
99 avenue de Lyon 26500 BOURG-LÈS-VALENCE FR,44.952299,4.891237,Bourg-lès-Valence,26500
C.C. Carrefour Chaussée de Chappe 18000 BOURGES FR,47.080876,2.387939,Bourges,18000
ZAC - 15 avenue Henri Barbusse 38300 BOURGOIN-JALLIEU FR,45.596458,5.268584,Bourgoin-Jallieu,38300
26 rue d'Aiguillon - place Wilson 29200 BREST FR,48.385723,-4.488859,Brest,29200
C.C. Auchan 91220 BRÉTIGNY-SUR-ORGE FR,48.610762,2.27544,Brétigny-sur-Orge,91220
210 route de Paris 60600 BREUIL-LE-VERT FR,49.36687,2.418766,Breuil-le-Vert,60600
14 avenue Jean-Charles Rivet BRIVE-LA-GAILLARDE FR,45.150689,1.498369,Brive-la-Gaillarde,19100
Galerie E.Leclerc - 86 avenue Jacques et Bernadette Chirac BRIVE-LA-GAILLARDE FR,45.163406,1.531957,Brive-la-Gaillarde,19100
Zone Commerciale Mas Guérido 66330 CABESTANY FR,42.686495,2.932569,Cabestany,66330
130 rue Saint Jean 14000 CAEN FR,49.179698,-0.357863,Caen,14000
38 boulevard Gambetta 46000 CAHORS FR,44.446245,1.440937,Cahors,46000
C.C. - près du Casino 66140 CANET-EN-ROUSSILLON FR,42.699274,3.008144,Canet-en-Roussillon,66140
C.C. E.Leclerc 11000 CARCASSONNE FR,43.207786,2.374611,Carcassonne,11000
8 Route de Saint-Côme 50500 CARENTAN-LES-MARAIS FR,49.3068,-1.252367,Carentan les Marais,50500
23 avenue du Mont Ventoux 84200 CARPENTRAS FR,44.056012,5.05318,Carpentras,84200
790 route de Nîmes - Europe Elysées 2 34170 CASTELNAU-LE-LEZ FR,43.637479,3.929768,Castelnau-le-Lez,34170
60 rue de Dunkerque 11400 CASTELNAUDARY FR,43.318435,1.954463,Castelnaudary,11400
1382 Route de Moissac - Lieudit Artel Ouest 82100 CASTELSARRASIN FR,44.064325,1.09692,Castelsarrasin,82100
30 rue Henri IV 81100 CASTRES FR,43.605795,2.240725,Castres,81100
286 cours Bournissac 84300 CAVAILLON FR,43.835184,5.040123,Cavaillon,84300
C.C. 3 Fontaines 95000 CERGY FR,49.039575,2.083073,Cergy,95000
9 Rue Clemenceau 68700 CERNAY FR,47.809009,7.176535,Cernay,68700
C.C. Auchan Boissenart 77240 CESSON FR,48.587673,2.599946,Cesson,77240
C.C. Carrefour 35510 CESSON-SÉVIGNÉ FR,48.137179,-1.620461,Cesson-Sévigné,35510
C.C. Chamnord - 1097 avenue des Landiers 73000 CHAMBÉRY FR,45.603881,5.89266,Chambéry,73000
30 route de Bordeaux 37170 CHAMBRAY-LÈS-TOURS FR,47.350358,0.70032,Chambray-lès-Tours,37170
32 rue de l'Église – 2 place Lénine 94500 CHAMPIGNY-SUR-MARNE FR,48.811764,2.511368,Champigny-sur-Marne,94500
990 rue de l'Arêtier 16430 CHAMPNIERS FR,45.685579,0.178228,Champniers,16430
"Parc commercial CLOS DU CHENE, avenue de la Ferme Briarde 77600 CHANTELOUP-EN-BRIE FR",48.856019,2.753518,Chanteloup-en-Brie,77600
41 cours Briand 08000 CHARLEVILLE-MÉZIÈRES FR,49.76941,4.719709,Charleville-Mézières,08000
Z.I. rue de la Plaine 02400 CHATEAU-THIERRY FR,49.034244,3.391638,Château-Thierry,02400
12 cours Carnot 13160 CHÂTEAURENARD FR,43.882514,4.854187,Châteaurenard,13160
49-51 avenue de la Division Leclerc 92290 CHÂTENAY-MALABRY FR,48.761843,2.286838,Châtenay-Malabry,92290
5 boulevard Ampère 79180 CHAURAY FR,46.339625,-0.382122,Chauray,79180
Zone Commerciale Leclerc - 8 rue Henri Paul Spaak 49120 CHEMILLÉ-EN-ANJOU FR,47.209286,-0.727525,Chemillé-en-Anjou,49120
52 bis rue Longvic 21300 CHENÔVE FR,47.284964,5.021763,Chenôve,21300
48 bis boulevard Robert Schuman 50100 CHERBOURG FR,49.636129,-1.625882,Cherbourg-en-Cotentin,50100
35 avenue Edmond Michelet 49300 CHOLET FR,47.07391,-0.843867,Cholet,49300
62 avenue Jean Jaurès 92140 CLAMART FR,48.803737,2.265857,Clamart,92140
