shop_name,address,latitude,longitude,city,postcode
Amplifon Audioprothésiste Aix les Bains,11 avenue De Verdun 73100 Aix les Bains,45.690718,5.910551,Aix-les-Bains,73100
Amplifon Audioprothésiste Albertville,57 rue de la République 73200 Albertville,45.676216,6.390093,Albertville,73200
Amplifon Audioprothésiste Ambérieu,18 rue Alexandre Bérard 01500 Ambérieu en Bugey,45.958924,5.358467,Ambérieu-en-Bugey,01500
Amplifon Audioprothésiste Ambert,2 rue de la République 63600 Ambert,45.549808,3.740725,Ambert,63600
Amplifon Audioprothésiste Amilly,802 C Avenue d’Antibes 45200 Amilly,47.980067,2.732994,Amilly,45200
Amplifon Audioprothésiste Amphion,1052 avenue Rive 74500 Amphion les Bains,46.402933,6.611617,Évian-les-Bains,74500
Amplifon Audioprothésiste Andrézieux Bouthéon,10 avenue de Saint Etienne - Espace Ambroise Paré 42160 Andrézieux Bouthéon,45.526378,4.264593,Andrézieux-Bouthéon,42160
Amplifon Audioprothésiste Annecy,15 rue du Président Favre 74000 Annecy,45.902918,6.126141,Annecy,74000
Amplifon Audioprothésiste Annecy-le-Vieux,9 rue des Ecoles 74940 Annecy le Vieux,49.106897,-0.433965,Vieux,14930
Amplifon Audioprothésiste Annemasse,4 rue René Blanc 74100 Annemasse,46.193877,6.236675,Annemasse,74100
Amplifon Audioprothésiste Aubenas,2 boulevard de Vernon 07200 Aubenas,44.619552,4.388471,Aubenas,07200
Amplifon Audioprothésiste Balbigny,14 rue de la République 42510 Balbigny,45.81782,4.185234,Balbigny,42510
Amplifon Audioprothésiste Beaurepaire,45 rue de la République 38270 Beaurepaire,45.33865,5.055019,Beaurepaire,38270
Amplifon Audioprothésiste Bellegarde,5 rue Bertola 01200 Bellegarde Sur Valserine,46.107948,5.825542,Bellegarde-sur-Valserine,01200
Amplifon Audioprothésiste Belleville,20 rue de la Poste 69220 Belleville,46.10946,4.750086,Belleville,69220
Amplifon Audioprothésiste Boëge,"79, place des Marronniers 74420 Boëge",46.208725,6.405199,Boëge,74420
Amplifon Audioprothésiste Bons-en-Chablais,113 avenue du Leman 74890 Bons-en-Chablais,46.265359,6.372115,Bons-en-Chablais,74890
Amplifon Audioprothésiste Bourg en Bresse,3 rue Bernard 01000 Bourg en Bresse,46.205467,5.228148,Bourg-en-Bresse,01000
Amplifon Audioprothésiste Bourg les Valence,4 avenue Jean Moulin - Centre Commercial Le Cyrano 26500 Bourg les Valence,44.948233,4.897791,Bourg-lès-Valence,26500
Amplifon Audioprothésiste Bourgoin Folatière,23 avenue Maréchal Leclerc - Immeuble Le Kerylos BP87 38300 Bourgoin Jallieu,45.587028,5.281142,Bourgoin-Jallieu,38300
