shop_name,address,latitude,longitude,city,postcode
Audioprothésiste Audika Bourg-en-Bresse,16 Boulevard de Brou - 01000 Bourg-en-Bresse (Ain),46.204853,5.229367,Bourg-en-Bresse,01000
Audioprothésiste Audika Chatillon-sur-Chalaronne,100 Rue Pasteur - 01400 Châtillon-sur-Chalaronne (Ain),46.119722,4.955721,Châtillon-sur-Chalaronne,01400
Audioprothésiste Audika Château-Thierry,3 Place de l'Hôtel de Ville - 02400 Château-Thierry (Aisne),49.045511,3.402932,Château-Thierry,02400
Audioprothésiste Audika Saint-Quentin,13 Rue Emile Zola - 02100 Saint-Quentin (Aisne),49.846515,3.286195,Saint-Quentin,02100
Audioprothésiste Audika Soissons,16 Rue du Collège - 02200 Soissons (Aisne),49.38227,3.325836,Soissons,02200
Audioprothésiste Audika Montluçon,41 Rue du Faubourg Saint-Pierre - 03100 Montluçon (Allier),46.342427,2.601062,Montluçon,03100
Audioprothésiste Audika Moulins,4 Rue d'Allier - 03000 Moulins (Allier),46.564873,3.331488,Moulins,03000
Audioprothésiste Audika Vichy,19 Rue de Paris - 03200 Vichy (Allier),46.12635,3.424703,Vichy,03200
Audioprothésiste Audika Digne-les-bains,18 Boulevard Gassendi - 04000 Digne-les-bains (Alpes-de-Haute-Provence),44.091652,6.232948,Digne-les-Bains,04000
"Audioprothésiste Audika Manosque, Chrimalyde","Avenue du Docteur Bernard, Foussier - Espace Chrimalyde - 04100 Manosque (Alpes-de-Haute-Provence)",43.828221,5.804526,Manosque,04100
"Audioprothésiste Audika Manosque, Jean Giono",16-18 Avenue Jean Giono - 04100 Manosque (Alpes-de-Haute-Provence),43.829917,5.7851,Manosque,04100
Audioprothésiste Audika Sisteron,137 Avenue Paul Arène - 04200 Sisteron (Alpes-de-Haute-Provence),44.196538,5.943122,Sisteron,04200
Audioprothésiste Audika Antibes,3 Boulevard Dugommier - 06600 Antibes (Alpes Maritimes),43.580835,7.119667,Antibes,06600
Audioprothésiste Audika Cagnes-sur-mer,32 Boulevard du Maréchal Juin - 06800 Cagnes-sur-mer (Alpes Maritimes),43.658754,7.15068,Cagnes-sur-Mer,06800
Audioprothésiste Audika Cannes,11 Boulevard Carnot - 06400 Cannes (Alpes Maritimes),43.555278,7.016777,Cannes,06400
Audioprothésiste Audika Cannes-la-Bocca,109 Avenue Francis Tonner - Cannes-la-Bocca - 06150 Cannes (Alpes Maritimes),43.552852,7.017365,Cannes,06400
Audioprothésiste Audika Carros,7 Avenue des Cigales - 06510 Carros (Alpes Maritimes),43.771656,7.191819,Carros,06510
Audioprothésiste Audika Grasse,2 Chemin des Basses Moulières - 06130 Grasse (Alpes Maritimes),43.638912,6.911664,Grasse,06130
Audioprothésiste Audika Mandelieu-la-Napoule,731 Avenue Janvier Passero - Les Jardins Fleuris - 06210 Mandelieu-la-Napoule (Alpes Maritimes),43.552967,6.937646,Mandelieu-la-Napoule,06210
Audioprothésiste Audika Menton,4 Rue Prato - 06500 Menton (Alpes Maritimes),43.773969,7.499607,Menton,06500
Audioprothésiste Audika Mougins,80 Allée des Ormes - 06250 Mougins (Alpes Maritimes),43.610841,7.013537,Mougins,06250
Audioprothésiste Audika Nice,26 Rue de Paris - 06000 Nice (Alpes Maritimes),43.704539,7.266437,Nice,06000
"Audioprothésiste Audika Nice, Hôtel des Postes",32 Rue de l'Hôtel des Postes - 06000 Nice (Alpes Maritimes),43.699247,7.270408,Nice,06000
"Audioprothésiste Audika Nice, Jean Médecin",9 Rue Alphonse Karr - 06000 Nice (Alpes Maritimes),43.699083,7.26549,Nice,06000
"Audioprothésiste Audika Nice, Ouest",23 Avenue Saint-Augustin - 06200 Nice (Alpes Maritimes),43.968662,6.508838,Saint-André-les-Alpes,04170
Audioprothésiste Audika Roquebrune-Cap-Martin,246 Avenue Aristide Briand - 06190 Roquebrune-Cap-Martin (Alpes Maritimes),43.765183,7.48618,Roquebrune-Cap-Martin,06190
Audioprothésiste Audika Vence,Place du Grand Jardin - Résidence Le Villeneuve - 06140 Vence (Alpes Maritimes),43.722022,7.111895,Vence,06140
Audioprothésiste Audika Alissas,5 Place des Erables - 07210 Alissas (Ardèche),44.714943,4.631627,Alissas,07210
Audioprothésiste Audika Annonay,30 Avenue Sadi Carnot - 07100 Annonay (Ardèche),45.242618,4.671989,Annonay,07100
Audioprothésiste Audika Joyeuse,Place de la Gare - Centre Commercial Carrefour - Chez Optic 2000 - Opticiens Cevenols - 07260 Joyeuse (Ardèche),44.480253,4.241334,Joyeuse,07260
Audioprothésiste Audika Privas,18 Cours de l'Esplanade - 07000 Privas (Ardèche),44.734861,4.597165,Privas,07000
Audioprothésiste Audika Saint-Didier-sous-Aubenas,Les Terres de Millet - 07200 Saint-Didier-sous-Aubenas (Ardèche),44.613366,4.412201,Saint-Didier-sous-Aubenas,07200
Audioprothésiste Audika Charleville,14 Rue Flandre - 08000 Charleville (Ardennes),49.774321,4.717586,Charleville-Mézières,08000
Audioprothésiste Audika Sedan,3 Place Crussy - 08200 Sedan (Ardennes),49.700224,4.946743,Sedan,08200
Audioprothésiste Audika Vouziers,16 Rue Chervin - 08400 Vouziers (Ardennes),49.398188,4.702133,Vouziers,08400
Audioprothésiste Audika Pamiers,27 bis Route de Toulouse - 09100 Pamiers (Ariège),43.126529,1.610467,Pamiers,09100
Audioprothésiste Audika Saint-Girons,7 Avenue Henri Bernère - 09200 Saint-Girons (Ariège),42.986833,1.14361,Saint-Girons,09200
Audioprothésiste Audika Troyes,21 Avenue Pierre Brossolette - 10000 Troyes (Aube),48.29169,4.075048,Troyes,10000
Audioprothésiste Audika Troyes Ragueneau,31 Rue Marie Pascale Ragueneau - 10000 Troyes (Aube),48.292987,4.07039,Troyes,10000
Audioprothésiste Audika Carcassonne,31 Rue Antoine Marty - 11000 Carcassonne (Aude),43.216213,2.357747,Carcassonne,11000
Audioprothésiste Audika Lezignan,28 Rue des Romains - 11200 Lezignan (Aude),43.185905,2.756051,Lézignan-Corbières,11200
Audioprothésiste Audika Limoux,21 Rue Jean Jaurès - 11300 Limoux (Aude),43.054751,2.216741,Limoux,11300
Audioprothésiste Audika Narbonne,43 Boulevard du Général de Gaulle - 11100 Narbonne (Aude),43.184115,3.008701,Narbonne,11100
Audioprothésiste Audika Capdenac,3 Avenue Charles de Gaulle - 12700 Capdenac (Aveyron),44.576738,2.078513,Capdenac-Gare,12700
Audioprothésiste Audika Villefranche-de-Rouergue,12 Boulevard Charles de Gaulle - 12200 Villefranche de Rouergue (Aveyron),44.351841,2.034258,Villefranche-de-Rouergue,12200
Audioprothésiste Audika Haguenau Europe,40 Boulevard de l'Europe - 67500 Haguenau (Bas-Rhin),48.818323,7.783336,Haguenau,67500
Audioprothésiste Audika Illkirch Graffenstaden,145 Route de Lyon - 67400 Illkirch Graffenstaden (Bas-Rhin),48.53129,7.714367,Illkirch-Graffenstaden,67400
Audioprothésiste Audika Ingwiller,48 Rue du Maréchal Foch - 67340 Ingwiller (Bas-Rhin),48.872136,7.4795,Ingwiller,67340
Audioprothésiste Audika Obernai,34 Rue du Général Gouraud - 67210 Obernai (Bas-Rhin),48.462314,7.485245,Obernai,67210
Audioprothésiste Audika Saverne,6 Grand'Rue - 67700 Saverne (Bas-Rhin),48.743375,7.358927,Saverne,67700
Audioprothésiste Audika Schiltigheim,87 Route de Bischwiller - 67300 Schiltigheim (Bas-Rhin),48.609021,7.750295,Schiltigheim,67300
Audioprothésiste Audika Strasbourg Gare,66 Rue du Faubourg National - 67000 Strasbourg (Bas-Rhin),48.582355,7.7345,Strasbourg,67000
Audioprothésiste Audika Strasbourg Nuée Bleue,9 Rue de la Nuée Bleue - 67000 Strasbourg (Bas-Rhin),48.586171,7.747046,Strasbourg,67000
Audioprothésiste Audika Truchtersheim,6 Rue de la galerie - 67370 Truchtersheim (Bas-Rhin),48.655681,7.6068,Truchtersheim,67370
"Audioprothésiste Audika Aix-en-Provence, Carnot",2 Boulevard Carnot - 13100 Aix-en-Provence (Bouches-du-Rhône),43.525016,5.4545,Aix-en-Provence,13100
"Audioprothésiste Audika Aix-en-Provence, Pont de l'Arc",207 Avenue Fortuné Ferrini - 13090 Aix-en-Provence (Bouches-du-Rhône),43.529743,5.447434,Aix-en-Provence,13100
"Audioprothésiste Audika Aix-en-Provence, Rotonde",7 Boulevard de la république - 13100 Aix-en-Provence (Bouches-du-Rhône),43.527525,5.442725,Aix-en-Provence,13100
Audioprothésiste Audika Arles,3 Rue Yvan Audouard - Atelier des Roues - 13200 Arles (Bouches-du-Rhône),43.673358,4.639123,Arles,13200
Audioprothésiste Audika Aubagne Centre,7 Avenue Loulou Delfieu - 13400 Aubagne (Bouches-du-Rhône),43.292549,5.566279,Aubagne,13400
Audioprothésiste Audika Aubagne Nord,3 Route Nationale 396 - 13400 Aubagne (Bouches-du-Rhône),43.325896,5.596342,Aubagne,13400
Audioprothésiste Audika Bouc Bel Air,Avenue de la Gratiane - 13320 Bouc-Bel-Air (Bouches-du-Rhône),43.459296,5.412832,Bouc-Bel-Air,13320
Audioprothésiste Audika Cassis,"7 Chemin du Mont Gibaou, Parc d'activités du Bregadan - Institut de médecine de Cassis - 13260 Cassis (Bouches-du-Rhône)",43.227546,5.533735,Cassis,13260
Audioprothésiste Audika Gardanne,23 Cours Forbin - 13120 Gardanne (Bouches-du-Rhône),43.454367,5.470413,Gardanne,13120
Audioprothésiste Audika La Bouilladisse,280 Avenue de la Malvesine - 13720 La Bouilladisse (Bouches-du-Rhône),43.386588,5.603004,La Bouilladisse,13720
Audioprothésiste Audika La Ciotat,131 Avenue Ernest Subilia - Le Vallat - 13600 La Ciotat (Bouches-du-Rhône),43.183321,5.61112,La Ciotat,13600
"Audioprothésiste Audika Marseille, Baille",143 Boulevard Baille - 13005 Marseille (Bouches-du-Rhône),43.288751,5.394133,Marseille,13005
"Audioprothésiste Audika Marseille, Gabriel Péri",1 Place Gabriel Péri - La Canebière - 13001 Marseille (Bouches-du-Rhône),43.295805,5.374889,Marseille,13001
"Audioprothésiste Audika Marseille, Haïfa",64 Avenue Haïfa - Hermès Park - 13008 Marseille (Bouches-du-Rhône),43.251457,5.390276,Marseille,13008
"Audioprothésiste Audika Marseille, Grand Littoral",Centre commercial Grand Littoral - 13016 Marseille (Bouches-du-Rhône),43.358432,5.326149,Marseille,13016
"Audioprothésiste Audika Marseille, Sébastopol",1 Place Sébastopol - 13004 Marseille (Bouches-du-Rhône),43.299701,5.397174,Marseille,13004
"Audioprothésiste Audika Marseille, Saint-Barnabé",25 Avenue Montaigne - 13012 Marseille (Bouches-du-Rhône),43.304219,5.415201,Marseille,13012
"Audioprothésiste Audika Marseille, Sainte-Marguerite",6 Rue Augustin Aubert - 13009 Marseille (Bouches-du-Rhône),43.265002,5.403769,Marseille,13009
"Audioprothésiste Audika Marseille, Saint-Giniez",8 Avenue de Mazargues - 13008 Marseille (Bouches-du-Rhône),43.269734,5.387954,Marseille,13008
Audioprothésiste Audika Plan-de-Cuques,5 Mail du Général de Gaulle - 13380 Plan-de-Cuques (Bouches-du-Rhône),43.346283,5.465467,Plan-de-Cuques,13380
Audioprothésiste Audika Port-de-Bouc,30 Place du Docteur Igonet - Centre commercial Respélido - Anciennement Avenue Charles Nedelec - 13110 Port-de-Bouc (Bouches-du-Rhône),43.406389,4.98332,Port-de-Bouc,13110
Audioprothésiste Audika Saint-Victoret,250 Boulevard Barthelemy Abbadie - 13730 Saint-Victoret (Bouches-du-Rhône),43.4197,5.237122,Saint-Victoret,13730
Audioprothésiste Audika Salon-de-Provence,124 Allée de Craponne - 13300 Salon-de-Provence (Bouches-du-Rhône),43.636726,5.09939,Salon-de-Provence,13300
Audioprothésiste Audika Sausset-les-Pins,1 Avenue Clément Monnier - 13960 Sausset Les Pins (Bouches-du-Rhône),43.331096,5.111226,Sausset-les-Pins,13960
Audioprothésiste Audika Bayeux,5 Place Saint-Patrice - 14400 Bayeux (Calvados),49.279202,-0.70823,Bayeux,14400
Audioprothésiste Audika Caen,69 Rue de Bernières - 14000 Caen (Calvados),49.18191,-0.360103,Caen,14000
"Audioprothésiste Audika Caen, Carpiquet","Résidence le Val, Route de Bretteville - 14650 Carpiquet (Calvados)",49.180934,-0.440128,Carpiquet,14650
Audioprothésiste Audika Lisieux,42 Place de la République - 14100 Lisieux (Calvados),49.144063,0.224241,Lisieux,14100
Audioprothésiste Audika Aurillac,8 bis Place du Square - 15000 Aurillac (Cantal),44.927856,2.444235,Aurillac,15000
Audioprothésiste Audika Saint-Flour,43 Avenue du Lioran - 15100 Saint-Flour (Cantal),45.037324,3.06889,Saint-Flour,15100
Audioprothésiste Audika Angouleme,1 Boulevard de la République - 16000 Angouleme (Charente),45.651587,0.163514,Angoulême,16000
Audioprothésiste Audika Cognac,23 Avenue d'Angoulême - 16100 CHATEAUBERNARD (Charente),45.685921,-0.30587,Châteaubernard,16100
Audioprothésiste Audika Ruffec,9 Avenue de la République - 16700 Ruffec (Charente),46.027416,0.199099,Ruffec,16700
Audioprothésiste Audika Chatelaillon,3 Rue du Docteur Barraud - 17340 Chatelaillon (Charente-Maritime),46.075095,-1.093444,Châtelaillon-Plage,17340
Audioprothésiste Audika Jonzac,"BAT A - Parc Commercial de la Source, Avenue du 57ème Régiment de l'Infanterie - 17500 Jonzac (Charente-Maritime)",45.447103,-0.446079,Jonzac,17500
Audioprothésiste Audika La Rochelle Cognehors,71 bis Boulevard de Cognehors - Résidence Villa Royale - 17000 La Rochelle (Charente-Maritime),46.168156,-1.141785,La Rochelle,17000
Audioprothésiste Audika La Rochelle Genette,67 Avenue de Coligny - 17000 La Rochelle (Charente-Maritime),46.160045,-1.165783,La Rochelle,17000
Audioprothésiste Audika Rochefort,55 bis Rue du Docteur Peltier - 17300 Rochefort (Charente-Maritime),45.937696,-0.963959,Rochefort,17300
Audioprothésiste Audika Royan,28 Rue du Font de Cherves - (Face au marché) - 17200 Royan (Charente-Maritime),45.627386,-1.030272,Royan,17200
Audioprothésiste Audika Saint-Jean-d'Angely,23 Rue de l'Hôtel de Ville - 17400 Saint-Jean-d'Angely (Charente-Maritime),45.94453,-0.51907,Saint-Jean-d'Angély,17400
Audioprothésiste Audika Surgeres,68 Avenue Audry de Puyravault - 17700 Surgeres (Charente-Maritime),46.133596,-0.809274,Puyravault,17700
Audioprothésiste Audika Bourges,43 Rue d'Auron - 18000 Bourges (Cher),47.081662,2.393224,Bourges,18000
Audioprothésiste Audika Sancoins,8 Rue Fernand Duruisseau - 18600 Sancoins (Cher),46.831483,2.919684,Sancoins,18600
Audioprothésiste Audika Vierzon,"Chemin de l'Ardillat, l'Orée de Sologne - 18100 Vierzon (Cher)",47.237527,2.090844,Vierzon,18100
Audioprothésiste Audika Bort-les-Orgues,2/6 Avenue de la Gare - 19110 Bort-les-Orgues (Corrèze),45.400317,2.499716,Bort-les-Orgues,19110
Audioprothésiste Audika Brive,6 Boulevard Jules Ferry - 19100 Brive (Corrèze),45.372769,1.878594,Corrèze,19800
Audioprothésiste Audika Ussel,1 Boulevard Treich Laplène - 19200 Ussel (Corrèze),45.547903,2.310606,Ussel,19200
Audioprothésiste Audika Beaune,21 Rue d'Alsace - 2 Rue Thiers - 21200 Beaune (Côte-d'Or),47.022385,4.839621,Beaune,21200
Audioprothésiste Audika Chenove,14 Rue de Marsannay - 21300 Chenove (Côte-d'Or),47.292512,5.009303,Chenôve,21300
Audioprothésiste Audika Dijon,19 Rue du Chapeau Rouge - 21000 Dijon (Côte-d'Or),47.321412,5.036655,Dijon,21000
Audioprothésiste Audika Dijon Vaillant,1 rue du Général Fauconnet - 21000 Dijon (Côte-d'Or),47.330008,5.043001,Dijon,21000
Audioprothésiste Audika Dinan,23 Rue Thiers - 22100 Dinan (Côtes d'Armor),48.455661,-2.049439,Dinan,22100
Audioprothésiste Audika Guingamp,49 Rue Notre Dame - 22200 Guingamp (Côtes d'Armor),48.560796,-3.149035,Guingamp,22200
Audioprothésiste Audika Lannion,1 Rue Georges Palante - Rond Point Saint-Elivet - 22300 Lannion (Côtes d'Armor),48.726033,-3.445484,Lannion,22300
Audioprothésiste Audika Loudeac,9 Rue de Cadelac - 22600 Loudeac (Côtes d'Armor),48.17664,-2.754929,Loudéac,22600
Audioprothésiste Audika Paimpol,Rond-point du Goëlo - 22500 Paimpol (Côtes d'Armor),48.77852,-3.04387,Paimpol,22500
Audioprothésiste Audika Plerin,1 Rue de l'Arrivée - 22190 Plerin (Côtes d'Armor),48.548852,-2.793461,Plérin,22190
Audioprothésiste Audika Saint-Brieuc,14 Rue Sainte-Barbe - 22000 Saint-Brieuc (Côtes d'Armor),48.51215,-2.761104,Saint-Brieuc,22000
Audioprothésiste Audika Gueret,5 Avenue de la Sénatorerie - 23000 Gueret (Creuse),46.167828,1.869831,Guéret,23000
Audioprothésiste Audika Bressuire,8 Avenue René Héry - 79300 Bressuire (Deux-Sèvres),46.841513,-0.492821,Bressuire,79300
Audioprothésiste Audika Niort,11 Avenue des Martyrs de la Résistance - 79000 Niort (Deux-Sèvres),46.323409,-0.456735,Niort,79000
Audioprothésiste Audika Parthenay,86 Avenue du Général de Gaulle - 79200 Parthenay (Deux-Sèvres),46.648252,-0.242728,Parthenay,79200
Audioprothésiste Audika Bergerac,39 Place Gambetta - 24100 Bergerac (Dordogne),44.855406,0.483063,Bergerac,24100
Audioprothésiste Audika Perigueux,59 Rue Gambetta - 24000 Perigueux (Dordogne),45.187377,0.712347,Périgueux,24000
Audioprothésiste Audika Sarlat,6 Avenue Aristide Briand - 24200 Sarlat (Dordogne),44.881311,1.217072,Sarlat-la-Canéda,24200
Audioprothésiste Audika Besancon,49 Avenue de Belfort - 25000 Besançon (Doubs),47.248286,6.029567,Besançon,25000
Audioprothésiste Audika Montbeliard,42 Rue des Halles - 25200 Montbeliard (Doubs),47.509175,6.794376,Montbéliard,25200
