shop_name,address,latitude,longitude,city,postcode
Audilab  Audioprothésiste 09,"38, allée des Pins 13009 Marseille",43.253827,5.417374,Marseille,13009
Audilab  Audioprothésiste Agde,Boulevard René Cassin 34300 Agde,43.305552,3.488563,Agde,34300
Audilab  Audioprothésiste Aigrefeuille d'Aunis,12 passage des Halles 17290 Aigrefeuille-d'Aunis,46.117235,-0.935158,Aigrefeuille-d'Aunis,17290
Audilab  Audioprothésiste Aix-les-Bains,213 avenue Marie de Solms 73100 Aix-les-Bains,45.688,5.910355,Aix-les-Bains,73100
Audilab  Audioprothésiste Aizenay,1 bis place de l'Aire Buron 85190 Aizenay,46.739594,-1.607899,Aizenay,85190
Audilab  Audioprothésiste Alençon,36 Grande Rue 61000 Alençon,48.430254,0.088775,Alençon,61000
Audilab  Audioprothésiste Amboise,13 place Saint Denis 37400 Amboise,47.410224,0.979778,Amboise,37400
Audilab  Audioprothésiste Angers,142 avenue de Lattre de Tassigny 49000 Angers,47.445956,-0.537851,Angers,49000
Audilab  Audioprothésiste Angers Visitation,15 place de la Visitation 49100 Angers,47.466531,-0.557011,Angers,49100
Audilab  Audioprothésiste Angers centre,2 rue Lionnaise 49100 Angers,47.475414,-0.562276,Angers,49100
Audilab  Audioprothésiste Anglet,31 avenue de Biarritz 64600 Anglet,43.480222,-1.519147,Anglet,64600
Audilab  Audioprothésiste Angoulême,20 boulevard Poitou-Charentes 16000 Angoulême,45.649697,0.134793,Angoulême,16000
Audilab  Audioprothésiste Angoulême,5 rue Montalembert 16000 Angoulême,45.647237,0.166551,Angoulême,16000
Audilab  Audioprothésiste Annecy,27 rue de la Paix 74000 Annecy,45.904907,6.131349,Annecy,74000
Audilab  Audioprothésiste Antrain,3bis boulevard du Général de Gaulle 35560 Antrain,48.459957,-1.481778,Antrain,35560
Audilab  Audioprothésiste Apt,69 place Saint-Pierre 84400 Apt,43.876191,5.399126,Apt,84400
Audilab  Audioprothésiste Arles,3 boulevard Émile Combes 13200 Arles,43.679416,4.634212,Arles,13200
Audilab  Audioprothésiste Arpajon-Sur-Cère,7 avenue du Général Milhaud 15130 Arpajon-sur-Cère,44.901906,2.458357,Arpajon-sur-Cère,15130
Audilab  Audioprothésiste Aubenas,6 place de la Paix 07200 Aubenas,44.617958,4.389649,Aubenas,07200
Audilab  Audioprothésiste Aubière,3 rue Champvoisin 63170 Aubière,45.751782,3.108999,Aubière,63170
Audilab  Audioprothésiste Audenge,35 route de Bordeaux 33980 Audenge,44.68487,-1.004758,Audenge,33980
Audilab  Audioprothésiste Audition Delmas Argelès-Gazost,12 rue du Général Leclerc 65400 Argelès-Gazost,43.002439,-0.101215,Argelès-Gazost,65400
Audilab  Audioprothésiste Audition Delmas Billère,3 bis route de Bayonne 64140 Billère,43.299159,-0.390993,Billère,64140
Audilab  Audioprothésiste Audition Delmas Gan,11 avenue d’Aspe 64290 Gan,43.228392,-0.388353,Gan,64290
Audilab  Audioprothésiste Audition Delmas Lannemezan,38 rue Jean-Jacques Rousseau 65300 Lannemezan,43.123819,0.384,Lannemezan,65300
Audilab  Audioprothésiste Audition Delmas Lourdes,1 avenue du Maréchal Joffre 65100 Lourdes,43.094593,-0.045855,Lourdes,65100
Audilab  Audioprothésiste Audition Delmas Monein,23 avenue de la Résistance 64360 Monein,43.329671,-0.581395,Monein,64360
Audilab  Audioprothésiste Audition Delmas Orthez,8 place du Foirail 64300 Orthez,43.488993,-0.770977,Orthez,64300
Audilab  Audioprothésiste Audition Delmas Pau,6 rue Montpensier 64000 Pau,43.298896,-0.370879,Pau,64000
Audilab  Audioprothésiste Audition Delmas Salies de Béarn,3 cours du Jardin Public 64270 Salies-de-Béarn,43.472562,-0.925727,Salies-de-Béarn,64270
Audilab  Audioprothésiste Audition Delmas Soumoulou,30 avenue Lasbordes 64420 Soumoulou,43.26642,-0.189089,Soumoulou,64420
Audilab  Audioprothésiste Auray,21 place Joffre 56400 Auray,47.666544,-2.987045,Auray,56400
Audilab  Audioprothésiste Aurore La Rochelle,29 Rue du Général Dumont 17000 La Rochelle,46.160215,-1.174684,La Rochelle,17000
Audilab  Audioprothésiste Avignon,51 avenue Pierre Sémard 84000 Avignon,43.9399,4.820666,Avignon,84000
Audilab  Audioprothésiste Azay-le-Rideau,2 route de Tours 37190 Azay-le-Rideau,47.267497,0.473157,Azay-le-Rideau,37190
Audilab  Audioprothésiste Bagnols-en-Forêt,848 Route de Saint-Paul 83600 Bagnols-en-Forêt,43.538436,6.709132,Bagnols-en-Forêt,83600
Audilab  Audioprothésiste Bayonne,5 rue du Temple 64100 Bayonne,43.492963,-1.477882,Bayonne,64100
Audilab  Audioprothésiste Beaufort-en-Vallée,21 place Jeanne de Laval 49250 Beaufort-en-Vallée,47.439871,-0.215534,Beaufort-en-Anjou,49250
Audilab  Audioprothésiste Beaupréau,5 rue de la Garenne 49600 Beaupréau,47.202312,-0.9926,Beaupréau-en-Mauges,49600
Audilab  Audioprothésiste Beauvoir sur Niort,195 impasse des acacias 79360 Beauvoir sur Niort,46.184506,-0.471094,Beauvoir-sur-Niort,79360
Audilab  Audioprothésiste Beauvoir-sur-Mer,1 bis rue du Grand Four 85230 Beauvoir-sur-Mer,46.915517,-2.044231,Beauvoir-sur-Mer,85230
Audilab  Audioprothésiste Belz,20 rue des Sports 56550 Belz,47.67348,-3.173154,Belz,56550
Audilab  Audioprothésiste Bizanos,32T boulevard du CDT René Mouchotte 64320 Bizanos,43.302555,-0.319256,Bizanos,64320
Audilab  Audioprothésiste Biéville-Beuville,Rond-point de la Bijude 14112 Biéville-Beuville,49.229383,-0.370949,Biéville-Beuville,14112
Audilab  Audioprothésiste Blain,7 rue Aristide Briand 44130 Blain,47.475917,-1.764704,Blain,44130
Audilab  Audioprothésiste Blois,5 rue du Colonel de Montlaur 41000 Blois,47.583225,1.322709,Blois,41000
Audilab  Audioprothésiste Blois Centre,12 rue du Maréchal de Lattre de Tassigny 41000 Blois,47.586649,1.336712,Blois,41000
Audilab  Audioprothésiste Bordeaux,3 rue Boudet 33000 Bordeaux,44.845365,-0.577081,Bordeaux,33000
Audilab  Audioprothésiste Bouloc,"3, Rue de la Pégou 31620 Bouloc",43.778395,1.406577,Bouloc,31620
Audilab  Audioprothésiste Bourges,25 rue de sarrebourg 18000 Bourges,47.080121,2.402601,Bourges,18000
Audilab  Audioprothésiste Bourges Faraday,1 rue Michaël Faraday 18000 Bourges,47.096078,2.434448,Bourges,18000
Audilab  Audioprothésiste Bourgueil,Parc commercial de la Petite Prairie 37140 Bourgueil,47.276167,0.164553,Bourgueil,37140
Audilab  Audioprothésiste Brest,33 rue Émile Rousse 29200 Brest,48.385776,-4.528178,Brest,29200
Audilab  Audioprothésiste Brive,Avenue Jean-Charles Rivet 19100 Brive-la-Gaillarde,45.145715,1.47995,Brive-la-Gaillarde,19100
Audilab  Audioprothésiste Brive centre,18 rue Marcelin Roche 19100 Brive-la-Gaillarde,45.164912,1.530366,Brive-la-Gaillarde,19100
Audilab  Audioprothésiste Broons,31B ZA du chalet 22250 Broons,48.32392,-2.252685,Broons,22250
Audilab  Audioprothésiste Caen,15 rue des Équipes d'urgence 14000 Caen,49.181008,-0.357307,Caen,14000
Audilab  Audioprothésiste Camarès,32 chemin de la Noria 12360 Camarès,43.822093,2.879472,Camarès,12360
Audilab  Audioprothésiste Capbreton,7 rue la Palinette 40130 Capbreton,43.650245,-1.40637,Capbreton,40130
Audilab  Audioprothésiste Carcassonne,116 avenue Franklin Roosevelt 11000 Carcassonne,43.223007,2.336416,Carcassonne,11000
Audilab  Audioprothésiste Carnac,1 rue du Tumulus 56340 Carnac,47.583756,-3.078416,Carnac,56340
Audilab  Audioprothésiste Carpentras,121 avenue du Mont Ventoux 84200 Carpentras,44.05607,5.054351,Carpentras,84200
Audilab  Audioprothésiste Carquefou,1 chemin de Toscane 44470 Carquefou,47.297925,-1.49642,Carquefou,44470
Audilab  Audioprothésiste Castres,19 boulevard Maréchal Foch 81100 Castres,43.602876,2.239236,Castres,81100
Audilab  Audioprothésiste Cenon,80 avenue Jean Jaurès 33150 Cenon,44.857568,-0.531803,Cenon,33150
Audilab  Audioprothésiste Chambray-lès-Tours,31 avenue de la République 37170 Chambray-lès-Tours,47.346461,0.708467,Chambray-lès-Tours,37170
Audilab  Audioprothésiste Chambéry,178 quai Charles Roissard 73000 Chambery,45.570398,5.918283,Chambéry,73000
Audilab  Audioprothésiste Chartres,6 bis place de la Porte Saint-Michel 28000 Chartres,48.442405,1.489121,Chartres,28000
Audilab  Audioprothésiste Chinon,2 rue Hoche 37500 Chinon,47.165847,0.245281,Chinon,37500
Audilab  Audioprothésiste Cholet,35 square de Montgeoffroy 49300 Cholet,47.049244,-0.897012,Cholet,49300
Audilab  Audioprothésiste Cholet centre,2 boulevard de la Victoire 49300 Cholet,47.057064,-0.877023,Cholet,49300
Audilab  Audioprothésiste Château Gontier,13 rue René d'Anjou 53200 Château-Gontier,47.82654,-0.708992,Château-Gontier,53200
Audilab  Audioprothésiste Château-Renault,18 place Jean Jaurès 37110 Château-Renault,47.593378,0.915351,Château-Renault,37110
Audilab  Audioprothésiste Château-du-Loir,16 place des Halles 72500 Château-du-Loir,47.693525,0.419698,Montval-sur-Loir,72500
Audilab  Audioprothésiste Châteaubernard,CCAL Auchan Cognac 16100 Châteaubernard,45.692814,-0.322872,Cognac,16100
Audilab  Audioprothésiste Châteauroux,8 bis rue Molière 36000 Châteauroux,46.811789,1.692937,Châteauroux,36000
Audilab  Audioprothésiste Châtellerault,133 avenue Maréchal Foch 86100 Châtellerault,46.825069,0.560289,Châtellerault,86100
Audilab  Audioprothésiste Châtellerault centre,85 boulevard Blossac 86100 Châtellerault,46.817545,0.545078,Châtellerault,86100
Audilab  Audioprothésiste Châtillon-sur-Indre,14 rue Grande 36700 Châtillon-sur-Indre,46.985024,1.17401,Châtillon-sur-Indre,36700
Audilab  Audioprothésiste Clermont-Ferrand,22 boulevard Charles de Gaulle 63000 Clermont-Ferrand,45.773214,3.082474,Clermont-Ferrand,63000
Audilab  Audioprothésiste Cognac,33 boulevard Denfert Rochereau 16100 Cognac,45.694901,-0.325808,Cognac,16100
Audilab  Audioprothésiste Commentry,23 place du 14 juillet 03600 Commentry,46.288805,2.742755,Commentry,03600
Audilab  Audioprothésiste Condé-sur-Sarthe,69 rue d'Alençon 61250 Condé-sur-Sarthe,48.43483,0.055276,Condé-sur-Sarthe,61250
Audilab  Audioprothésiste Craon,14 rue Neuve 53400 Craon,47.848208,-0.951174,Craon,53400
Audilab  Audioprothésiste Crozon,13 rue Jules Simon 29160 Crozon,48.246112,-4.487861,Crozon,29160
Audilab  Audioprothésiste Dieulouard,75c Avenue du Général de Gaulle 54380 Dieulouard,48.840785,6.069872,Dieulouard,54380
Audilab  Audioprothésiste Dijon,10 rue Michelet 21000 Dijon,47.321156,5.03603,Dijon,21000
Audilab  Audioprothésiste Dinan,6 place du Marchix 22100 Dinan,48.453774,-2.045542,Dinan,22100
Audilab  Audioprothésiste Dives-sur-Mer,7 place Marius Tréfouel 14160 Dives-sur-Mer,49.286039,-0.107517,Dives-sur-Mer,14160
Audilab  Audioprothésiste Dol-de-Bretagne,42 rue Grande Rue des Stuarts 35120 Dol-de-Bretagne,48.549668,-1.75515,Dol-de-Bretagne,35120
Audilab  Audioprothésiste Douarnenez,1 rue Duguay-Trouin 29100 Douarnenez,48.092986,-4.329078,Douarnenez,29100
Audilab  Audioprothésiste Ernée,19 place Thiers 53500 Ernée,48.296966,-0.935098,Ernée,53500
Audilab  Audioprothésiste Evron,7 place de la Basilique 53600 Évron,48.155732,-0.402811,Évron,53600
Audilab  Audioprothésiste Eymoutiers,13 avenue de la Paix 87120 Eymoutiers,45.738704,1.741728,Eymoutiers,87120
Audilab  Audioprothésiste Falaise,10 rue Georges Clemenceau 14700 Falaise,48.897388,-0.198347,Falaise,14700
Audilab  Audioprothésiste Fleury-sur-Orne,30 rue du Quadrant 14123 Fleury-sur-Orne,49.139952,-0.376282,Fleury-sur-Orne,14123
Audilab  Audioprothésiste Fontvieille,62 cours Hyacinthe Bellon 13990 Fontvieille,43.727019,4.711535,Fontvieille,13990
Audilab  Audioprothésiste Fougères Surdicom,3 bd St Germain 35300 Fougères,48.361791,-1.206806,Fougères,35300
Audilab  Audioprothésiste Fourneaux,ZA Matussières 73500 Fourneaux,45.191277,6.656039,Fourneaux,73500
Audilab  Audioprothésiste Gouesnou,Route de l'échangeur 29850 Gouesnou,48.429878,-4.467978,Gouesnou,29200
Audilab  Audioprothésiste Gradignan,5 avenue Favard 33170 Gradignan,44.785629,-0.603682,Gradignan,33170
Audilab  Audioprothésiste Grenade,89 rue de la république 31330 Grenade,43.772739,1.29335,Grenade,31330
Audilab  Audioprothésiste Guichen,9 rue louis Ampère 35580 Guichen,47.971188,-1.795012,Guichen,35580
Audilab  Audioprothésiste Guidel,20B rue de l'Océan 56520 Guidel,47.787027,-3.491162,Guidel,56520
Audilab  Audioprothésiste Guémené,30 rue de l'Hôtel de Ville 44290 Guémené-Penfao,47.628491,-1.833442,Guémené-Penfao,44290
