shop_name,address,latitude,longitude,city,postcode
audio2000 aire sur la lys,Centre commercial Val de Lys / Rue du bois,45.464,-0.64109,Bois,17240
audio2000 ajaccio,Résidence Espace Alban Cours Napoléon,46.118162,4.33917,Cours,69470
audio2000 albert,14 avenue Georges Clémenceau,47.246745,4.88234,Clémencey,21220
audio2000 angers,Rue du Grand Launay Centre commercial Grand Maine,48.384712,5.486892,Grand,88350
audio2000 anneyron,Maison de Santé - 2 rue du Levant,46.088919,4.94888,Relevant,01990
audio2000 antony,4 Avenue Aristide Briand antony,48.753629,2.305221,Antony,92160
audio2000 argenteuil,Route d'Enghien Centre commercial Joliot Curie,48.970879,2.303504,Enghien-les-Bains,95880
audio2000 athis,-MONS 77 avenue Jacques Chirac,45.907677,0.685614,Chirac,16150
audio2000 audenge,10 Route de Bordeaux,44.814368,-0.57273,Bordeaux,33800
audio2000 auneau,2 rue Pasteur - Place de l'Eglise,49.414638,-1.694107,Saint-Pierre-d'Arthéglise,50270
audio2000 auray,24 avenue JF Kennedy,48.512599,6.219949,Benney,54740
audio2000 balma,7 avenue Pierre Coupeau balma,43.61073,1.497938,Balma,31130
audio2000 bastia,40 Boulevard Paoli bastia,42.701016,9.450367,Bastia,20200
audio2000 bayonne,17 rue Lormand,49.878087,3.149854,Vermand,02490
audio2000 beaupreau,3 rue du Maréchal Foch,-21.55,167.883333,Maré,98828
audio2000 belfort,14 boulevard de Lattre de Tassigny,48.006594,5.645996,Parnoy-en-Bassigny,52400
audio2000 berck sur mer,228-230 Rue de l’Impératrice,49.038692,4.937156,Châtrices,51800
audio2000 besancon,14 rue René Char,50.272494,1.667336,Rue,80120
audio2000 bessines,21 route de la Rochelle,47.746314,5.73169,La Rochelle,70120
audio2000 bollene,Avenue Jean Moulin,42.961665,1.09119,Moulis,09200
audio2000 bretigny sur orge,Centre commercial AUCHAN/Maison neuve,48.3307,7.313635,Neuve-Église,67220
audio2000 brie comte robert,Centre Commercial HYPER U,50.049345,1.417728,Eu,76260
audio2000 brioude,23/25 Rue du 4 Septembre,45.553231,5.004413,Septème,38780
audio2000 brou,13 Place des Halles,45.718607,4.431016,Les Halles,69610
audio2000 caen,11 rue Paul Doumer,50.272494,1.667336,Rue,80120
audio2000 canet en roussillon,12 Rue Cap Bear,43.722085,7.405834,Cap-d'Ail,06320
audio2000 capdenac,-GARE 6 rue de la République,46.387098,6.542815,Publier,74500
audio2000 carcassonne,38 avenue du Docteur Henri Gout,47.09886,2.570716,Nohant-en-Goût,18390
audio2000 castelginest,3 rue Magressoles,45.866758,5.095951,Bressolles,01360
audio2000 chambly,Centre Commercial Les Hauts Vents ZAC  Les Portes de l'Oise,47.614458,3.466901,Les Hauts de Forterre,89560
audio2000 charmeil,12 Route de Saint Pourçain,48.404253,-4.228698,Saint-Urbain,29800
audio2000 chartres,4 rue Georges Fessard,47.992326,2.622929,Saint-Maurice-sur-Fessard,45700
audio2000 chateaudun,3-4 place du 18 octobre,43.655002,3.303774,Octon,34800
audio2000 clamart,Centre commercial des Hauts de Clamart/place Aimé Césaire,48.799865,2.262793,Clamart,92140
audio2000 clermont l,'HERAULT 22 bis Boulevard Gambetta,45.943362,5.362431,Bettant,01500
audio2000 coarraze,Rue de la gare/Galerie marchande Intermarché,45.981755,2.304245,Bellegarde-en-Marche,23190
audio2000 colmar,30 Rue de Turenne,45.054585,1.582685,Turenne,19500
audio2000 commentry,4 Place du 14 Juillet,44.426483,0.290188,Fauillet,47400
audio2000 compiegne,17 Esplanade Marguerite Perey Centre commercial de Royallieu,45.729023,3.2327,Pérignat-sur-Allier,63800
audio2000 conde sur l,'ESCAUT 42 rue Gambetta,50.272494,1.667336,Rue,80120
audio2000 crepy en valois,Rue Henri Laroche Zone La Croix Cailleux,43.778728,6.730258,Caille,06750
audio2000 dammartin en goele,161 Rue du Générale de Gaulle,43.212313,1.931259,Generville,11270
audio2000 deauville,10 avenue de la République,49.691069,1.19603,La Crique,76850
audio2000 digne les bains,25 boulevard Gassendi,47.630519,5.210779,Boussenois,21260
audio2000 dijon,9 et 11 Rue de la Liberté,47.202498,5.012066,Saint-Philibert,21220
audio2000 dol de bretagne,24 Grande Rue des Stuarts,47.733811,0.718769,Les Essarts,41800
audio2000 domfront,29 Grande Rue,50.265628,1.667929,Rue,80120
audio2000 doue la fontaine,9 Place Jean Bégault,48.716185,5.048248,Lisle-en-Rigault,55000
audio2000 enghien les bains,11 Rue de Mora,45.692223,5.263846,Moras,38460
audio2000 ermont,15 Rue Louis Savoie,45.654863,6.440174,Tours-en-Savoie,73790
audio2000 etaples sur mer,10 Place du Général de Gaulle,43.212575,1.931916,Generville,11270
audio2000 evreux,27 Rue de Grenoble,45.190036,5.721259,Grenoble,38000
audio2000 faulquemont,9 Place du Marché,45.49886,6.000291,Les Marches,73800
audio2000 figeac,32 rue Gambetta,42.344119,9.383067,Piobetta,20234
audio2000 flers,725 Route de Domfront,49.604766,2.546555,Domfront,60420
audio2000 fonsorbes,Zac des Portes du GERS,49.028304,0.952555,Portes,27190
audio2000 fontaine les dijon,Centre commercial Géant,46.224148,0.64707,Le Vigeant,86150
audio2000 fougeres,11 Boulevard Maréchal Leclerc,47.040357,4.270083,Reclesne,71540
audio2000 franconville,3 Boulevard Maurice Berteaux,48.710893,-0.266453,Les Yveteaux,61210
audio2000 goussainville,10 Boulevard Roger Salengro,44.947032,4.894634,Bourg-lès-Valence,26500
audio2000 grandvillars,16 Rue du Général Leclerc grandvillars,47.539271,6.968402,Grandvillars,90600
