shop_name,address,latitude,longitude,city,postcode
Audioprothésiste Abbeville Audition Santé,7 rue du Pont d'Amour 80100 ABBEVILLE FR,50.104848,1.832333,Abbeville,80100
Audioprothésiste Amiens Audition Santé,106 rue Alexandre DUMAS 80000 AMIENS FR,49.873833,2.289563,Amiens,80000
Audioprothésiste ARRAS Pasteur Audition Santé,15 rue Pasteur 62000 ARRAS FR,50.289046,2.780821,Arras,62000
Audioprothésiste ARRAS Gambetta Audition Santé,39 rue Gambetta 62000 ARRAS FR,50.289272,2.775238,Arras,62000
Audioprothésiste Aixe-sur-Vienne Audition Santé,2 rue Gambetta 87700 Aixe-sur-Vienne FR,45.795714,1.135355,Aixe-sur-Vienne,87700
Audioprothésiste Albertville Audition Santé,24 bis avenue Jean Jaurès 73200 Albertville FR,45.671102,6.386219,Albertville,73200
Audioprothésiste Albi Audition Santé,97 rue de Finlande 81000 Albi FR,43.925913,2.130841,Albi,81000
Audioprothésiste Ambarès-et-Lagrave Audition Santé,7 rue Edouard Herriot 33440 Ambarès-et-Lagrave FR,44.925825,-0.485054,Ambarès-et-Lagrave,33440
Audioprothésiste Anduze Audition Santé,28 avenue Pasteur Rollin 30140 Anduze FR,44.05131,3.985154,Anduze,30140
Audioprothésiste Angoulême Audition Santé,115 rue Saint Roch 16000 Angoulême FR,45.649862,0.168406,Angoulême,16000
Audioprothésiste Annonay Audition Santé,18 avenue Jean Jaurès Chez Optique Atol 07100 Annonay FR,45.243962,4.667807,Annonay,07100
Audioprothésiste Apt AuditionSanté,35 place Gabriel Péri 84400 Apt FR,43.875999,5.394814,Apt,84400
Audioprothésistes Passins Audition Santé,Zone du Lantey 38510 Arandon-Passins FR,45.68286,5.449363,Arandon-Passins,38510
Audioprothésiste Arcachon Héricart de Thury  Audition Santé,71 cours de Héricart de Thury 33120 Arcachon FR,44.660871,-1.167527,Arcachon,33120
Audioprothésiste Arcachon AuditionSanté,40 Cours Lamarque de Plaisance Chez Optique Merlin 33120 Arcachon FR,44.661156,-1.171963,Arcachon,33120
Audioprothésiste Argelès-sur-mer Audition Santé,11 avenue des Flamants roses 66700 Argelès-sur-mer FR,42.553052,3.011111,Argelès-sur-Mer,66700
Audioprothésiste Argentat Audition Santé,6 avenue du Jardin Public 19400 Argentat FR,45.093037,1.939536,Argentat-sur-Dordogne,19400
Audioprothésiste Arnac-Pompadour Audition Santé,14 place du Vieux Lavoir 19230 Arnac-Pompadour FR,45.398913,1.383245,Arnac-Pompadour,19230
Audioprothésiste Auch Audition Santé,6 allée Lucie Aubrac La porte d'Auch - Zone d'Endoumingue 32000 Auch FR,43.661439,0.597473,Auch,32000
Audioprothésiste Autun Audition Santé,2 Boulevard Mazagran 71400 Autun FR,46.954498,4.303266,Autun,71400
Audioprothésiste Avignon Eisenhower AuditionSanté,"12 avenue Eisenhower
Centre d'Affaires Eisenhower 84000 Avignon FR",43.939248,4.797294,Avignon,84000
Audioprothésiste Avranches Audition Santé,27 rue de la Constitution 50300 Avranches FR,48.685152,-1.359983,Avranches,50300
Audioprothésiste Bayonne Audition Santé,20 avenue du Maréchal Foch 64100 Bayonne FR,43.494035,-1.482401,Bayonne,64100
Audioprothésiste Bergerac Audition Santé,20 Rue des Carmes 24100 Bergerac FR,44.854098,0.487355,Bergerac,24100
Audioprothésiste Bessines-sur-Gartempe Audition Santé,19 avenue du 8 mai 1945 87250 Bessines-sur-Gartempe FR,46.108179,1.367907,Bessines-sur-Gartempe,87250
Audioprothésiste Bessé-sur-Braye Audition Santé,4 rue Jean Jaurès Chez Bessé Optique 72310 Bessé-sur-Braye FR,47.833874,0.751542,Bessé-sur-Braye,72310
Audioprothésiste Biganos Audition Santé,110 avenue de la Côte d'Argent 33380 Biganos FR,44.637785,-0.968034,Biganos,33380
Audioprothésiste Biscarrosse Audition Santé,153 avenue Georges Clemenceau 40600 Biscarrosse FR,44.395557,-1.164799,Biscarrosse,40600
Audioprothésiste Blois Audition Santé,2 Rue Denis Papin 41000 Blois FR,47.586353,1.335492,Blois,41000
