shop_name,address,latitude,longitude,city,postcode
Audioprothésiste CHAMANT Optical Center,"6, Avenue du Poteau 60300 Chamant",49.216698,2.595482,Chamant,60300
Audioprothésiste CHÂTEAURENARD Optical Center,"698, Boulevard Ernest Genevet 13160 Chateaurenard",43.887916,4.85368,Châteaurenard,13160
Audioprothésiste AUBIÈRE Optical Center,127 Avenue de Cournon 63170 Aubière,45.755981,3.149182,Aubière,63170
Audioprothésiste DRANCY Optical Center,"140, Avenue Henri Barbusse 93700 Drancy",48.920326,2.452644,Drancy,93700
Audioprothésiste  DINARD - PLEURTUIT Optical Center,ZAC de la Ville Es Meniers 35730 Pleurtuit,48.614237,-2.060204,Pleurtuit,35730
Audioprothésiste QUINCY-SOUS-SÉNART Optical Center,Rue de la marnière 91480 Quincy sous senart,48.683396,2.536436,Quincy-sous-Sénart,91480
Audioprothésiste DUCOS Optical Center,Rond Point de Genipa - Bâtiment B2 - Centre d’affaire Plazza 97224 Ducos,14.549879,-60.96857,Ducos,97224
Audioprothésiste CHÂTENAY-MALABRY Optical Center,"26, cours du commerce 92290 Chatenay malabry",48.76443,2.291584,Châtenay-Malabry,92290
Audioprothésiste CRÉPY-EN-VALOIS Optical Center,Zone commerciale la Croix Cailleux 60800 Crepy en valois,49.2391,2.885245,Crépy-en-Valois,60800
Audioprothésiste DOUARNENEZ Optical Center,7 rue Edouard Branly 29100 Douarnenez,48.09107,-4.347226,Douarnenez,29100
Audioprothésiste SÈTE Optical Center,"60, Boulevard Camille Blanc 34200 Sete",43.407512,3.667471,Sète,34200
Audioprothésiste  LE MARIN Optical Center,"2LD, Ancienne Usine du Marin 97290 Le marin",14.48479,-60.844134,Le Marin,97290
Audioprothésiste  NICE-SAINT-ISIDORE Optical Center,"140, Boulevard des Jardiniers 06200 Nice",43.709048,7.192472,Nice,06200
Audioprothésiste CHAMPAGNOLE Optical Center,"50, Avenue du Maréchal de Lattre de Tassigny 39300 Champagnole",46.74782,5.915208,Champagnole,39300
Audioprothésiste VILLEFRANCHE-DE-ROUERGUE Optical Center,"514, route de Montauban 12200 Villefranche de rouergue",44.360807,2.00482,Villefranche-de-Rouergue,12200
Audioprothésiste MONTESSON Optical Center,"283, Avenue Gabriel Péri 78360 Montesson",48.930867,2.145515,Montesson,78360
Audioprothésiste  BERGERAC - LA CAVAILLE Optical Center,"117, Avenue Charles de Gaulle 24100 Bergerac",44.840519,0.462529,Bergerac,24100
Audioprothésiste SAINT-CANNAT Optical Center,"5, Avenue de L’Europe 13760 Saint-cannat",43.611812,5.322791,Saint-Cannat,13760
Audioprothésiste SAINT-MARCELLIN Optical Center,ZI Chemin des Gameux 38160 Chatte,45.144782,5.305725,Chatte,38160
Audioprothésiste CARCASSONNE - ROCADEST Optical Center,"4, rue Joséphine Baker 11000 Carcassonne",43.226248,2.363769,Carcassonne,11000
Audioprothésiste MEAUX - BOUVIN Optical Center,"4, Avenue Jean Bouvin 77100 Meaux",48.954791,2.911526,Meaux,77100
Audioprothésiste PONTIVY - NIEL Optical Center,ZAC de St Niel 56300 Pontivy,48.067967,-2.949526,Pontivy,56300
Audioprothésiste AVRANCHES Optical Center,ZAC de la Baie 50300 Avranches,48.687795,-1.359198,Avranches,50300
Audioprothésiste CHÂLONS-EN-CHAMPAGNE - FAGNIÈRES Optical Center,"1, Chemin de la Terrière 51510 Fagnieres",48.959744,4.314357,Fagnières,51510
Audioprothésiste DOULLENS Optical Center,"36, rue Henri Dunant 80600 Doullens",50.15999,2.345287,Doullens,80600
Audioprothésiste LE MANS SUD Optical Center,11 rue Roger de la Fresnaye 72100 Le mans,47.9754,0.217001,Le Mans,72100
Audioprothésiste SAINT-QUENTIN - HARLY Optical Center,178 rue de Guise 02100 Saint-quentin,49.840521,3.313947,Saint-Quentin,02100
Audioprothésiste LUÇON Optical Center,119 chemin des Roches  Rond point Jean Monnet 85400 Luçon,46.459894,-1.145563,Luçon,85400
Audioprothésiste LIMOGES - BOISSEUIL Optical Center,Zone commerciale Boisseuil-Le Vigen 87110 Le vigen,45.784295,1.311646,Le Vigen,87110
Audioprothésiste CREUTZWALD Optical Center,1 rue St Flour 57150 Creutzwald,49.188215,6.698786,Creutzwald,57150
Audioprothésiste SAINT-AVOLD Optical Center,7 rue De Brack 57500 Saint avold,49.116272,6.708627,Saint-Avold,57500
Audioprothésiste  ÉPERNAY - PIERRY Optical Center,PAC les Forges 51530 Pierry,49.026419,3.946979,Pierry,51530
Audioprothésiste FORBACH Optical Center,210 rue Nationale 57600 Forbach,49.180459,6.888197,Forbach,57600
