shop_name,address,latitude,longitude,city,postcode
Unisson Bordeaux,28 allées d'Orléans 33000 Bordeaux,44.843861,-0.572798,Bordeaux,33000
Unisson Lille,"9-11 rue Léon Trulin 59000, Lille",50.638248,3.066122,Lille,59800
Unisson Lyon,"3, cours Charlemagne Entrée place des Archives - 3ème étage 69002, Lyon ",45.747348,4.825056,Lyon,69002
Maison de l'Appareil Auditif Lyon : partenaire Unisson,"31 cours Lafayette, 69006 Lyon",45.7637,4.846623,Lyon,69006
Unisson Marseille,"86 rue de Rome, 13006 Marseille",43.292001,5.380226,Marseille,13006
Unisson Nice,148 avenue Guynemer Entrée sous l'arche - 2ème étage 06700 Saint-Laurent-du-Var ,43.661374,7.19675,Saint-Laurent-du-Var,06700
Unisson Paris 8 - Saint-Lazare,"61 rue de l’arcade entrée sur rue, via le nouveau magasin, place Gabriel Péri 75008 Paris",48.875341,2.32484,Paris,75008
Maison de l'Appareil Auditif Paris 16 : partenaire Unisson,156 avenue de Versailles 75016 Paris,48.840644,2.26449,Paris,75016
Maison de l'Appareil Auditif Paris 20 - Nation : partenaire Unisson,36 boulevard de Charonne 75020 Paris,48.850653,2.398962,Paris,75020
Unisson Toulouse,1 rue Gabriel Péri Le Télégramme - 2ème étage à 50m de l'entrée du café Oz 31 000 Toulouse,43.605613,1.44977,Toulouse,31000
Unisson Paris 8 - Saint-Lazare,"61 rue de l’arcade entrée sur rue, via le nouveau magasin, place Gabriel Péri 75008 Paris",48.875341,2.32484,Paris,75008
Maison de l'Appareil Auditif Paris 20 - Nation : partenaire Unisson,36 boulevard de Charonne 75020 Paris,48.850653,2.398962,Paris,75020
Maison de l'Appareil Auditif Paris 16 : partenaire Unisson,156 avenue de Versailles 75016 Paris,48.840644,2.26449,Paris,75016
Unisson Bordeaux,28 allées d'Orléans 33000 Bordeaux,44.843861,-0.572798,Bordeaux,33000
Unisson Lille,"9-11 rue Léon Trulin 59000, Lille",50.638248,3.066122,Lille,59800
Unisson Lyon,"3, cours Charlemagne Entrée place des Archives - 3ème étage 69002, Lyon ",45.747348,4.825056,Lyon,69002
Maison de l'Appareil Auditif Lyon : partenaire Unisson,"31 cours Lafayette, 69006 Lyon",45.7637,4.846623,Lyon,69006
Unisson Marseille,"86 rue de Rome, 13006 Marseille",43.292001,5.380226,Marseille,13006
Unisson Nice,148 avenue Guynemer Entrée sous l'arche - 2ème étage 06700 Saint-Laurent-du-Var ,43.661374,7.19675,Saint-Laurent-du-Var,06700
Unisson Toulouse,1 rue Gabriel Péri Le Télégramme - 2ème étage à 50m de l'entrée du café Oz 31 000 Toulouse,43.605613,1.44977,Toulouse,31000
Unisson Paris 8 - Saint-Lazare,"61 rue de l’arcade entrée sur rue, via le nouveau magasin, place Gabriel Péri 75008 Paris",48.875341,2.32484,Paris,75008
Maison de l'Appareil Auditif Paris 20 - Nation : partenaire Unisson,36 boulevard de Charonne 75020 Paris,48.850653,2.398962,Paris,75020
Maison de l'Appareil Auditif Paris 16 : partenaire Unisson,156 avenue de Versailles 75016 Paris,48.840644,2.26449,Paris,75016
Unisson Lyon,"3, cours Charlemagne Entrée place des Archives - 3ème étage 69002, Lyon ",45.747348,4.825056,Lyon,69002
Maison de l'Appareil Auditif Lyon : partenaire Unisson,"31 cours Lafayette, 69006 Lyon",45.7637,4.846623,Lyon,69006
Unisson Nice,148 avenue Guynemer Entrée sous l'arche - 2ème étage 06700 Saint-Laurent-du-Var ,43.661374,7.19675,Saint-Laurent-du-Var,06700
Unisson Marseille,"86 rue de Rome, 13006 Marseille",43.292001,5.380226,Marseille,13006
Unisson Lille,"9-11 rue Léon Trulin 59000, Lille",50.638248,3.066122,Lille,59800
Unisson Bordeaux,28 allées d'Orléans 33000 Bordeaux,44.843861,-0.572798,Bordeaux,33000
Unisson Toulouse,1 rue Gabriel Péri Le Télégramme - 2ème étage à 50m de l'entrée du café Oz 31 000 Toulouse,43.605613,1.44977,Toulouse,31000
Unisson Bordeaux,28 allées d'Orléans 33000 Bordeaux,44.843861,-0.572798,Bordeaux,33000
Unisson Lille,"9-11 rue Léon Trulin 59000, Lille",50.638248,3.066122,Lille,59800
Unisson Lyon,"3, cours Charlemagne Entrée place des Archives - 3ème étage 69002, Lyon ",45.747348,4.825056,Lyon,69002
Maison de l'Appareil Auditif Lyon : partenaire Unisson,"31 cours Lafayette, 69006 Lyon",45.7637,4.846623,Lyon,69006
Unisson Marseille,"86 rue de Rome, 13006 Marseille",43.292001,5.380226,Marseille,13006
Unisson Nice,148 avenue Guynemer Entrée sous l'arche - 2ème étage 06700 Saint-Laurent-du-Var ,43.661374,7.19675,Saint-Laurent-du-Var,06700
Unisson Paris 8 - Saint-Lazare,"61 rue de l’arcade entrée sur rue, via le nouveau magasin, place Gabriel Péri 75008 Paris",48.875341,2.32484,Paris,75008
Maison de l'Appareil Auditif Paris 16 : partenaire Unisson,156 avenue de Versailles 75016 Paris,48.840644,2.26449,Paris,75016
Maison de l'Appareil Auditif Paris 20 - Nation : partenaire Unisson,36 boulevard de Charonne 75020 Paris,48.850653,2.398962,Paris,75020
Unisson Toulouse,1 rue Gabriel Péri Le Télégramme - 2ème étage à 50m de l'entrée du café Oz 31 000 Toulouse,43.605613,1.44977,Toulouse,31000
